카테고리,채널명,구독자수,조회수,비디오수
음악/댄스/가수,정동원TV,620000,220890000,263
음악/댄스/가수,다이아나Diana,620000,170870000,1773
게임,저라뎃 JUSTLIKETHAT,620000,561900000,2888
음악/댄스/가수,lEtudel,620000,242020000,2969
BJ/인물/연예인,예씨 yessii,620000,376950000,778
미분류,Bravo jamoasi,610000,115500000,84
패션/미용,소윤Soyoon,610000,59580000,154
게임,코아 TV,610000,426530000,1031
게임,삼식,610000,221380000,1906
음식/요리/레시피,한식푸우 Korean food,610000,243680000,1578
TV/방송,샒의 삶Serim's life,610000,185710000,520
음식/요리/레시피,맛상무,610000,230810000,1266
TV/방송,씨그널V [ Signal V ],610000,289350000,731
미분류,캡틴 파추호 Captain PaChuHO,610000,35350000,50
패션/미용,슈스스TV,610000,0,0
키즈/어린이,지니어드벤쳐 GeniAdventure (공룡∙과학 Dinosaurs),610000,592300000,426
IT/기술/컴퓨터,UNDERkg,610000,315480000,2288
미분류,지피티,610000,126480000,713
영화/만화/애니,Netflix Korea 넷플릭스 코리아,610000,164330000,1339
TV/방송,MBC 미스터리 : 심야괴담회 X 서프라이즈,610000,260970000,1122
뉴스/정치/사회,성제준TV,610000,192730000,966
음식/요리/레시피,sini시니,610000,229620000,672
TV/방송,tvN 인사이트,600000,207190000,1736
패션/미용,골근위수영뷰티아카데미,600000,428070000,356
키즈/어린이,뽀로로 타요 장난감 놀이교실,600000,387680000,807
자동차,김한용의 MOCAR,600000,271660000,1158
음악/댄스/가수,노래하는코트,600000,319520000,2297
TV/방송,코니tv conitv,600000,95810000,432
게임,눈쟁이,600000,241340000,2166
취미,여락이들_,600000,140850000,332
미분류,짧은대본 ShortPaper,600000,128720000,129
게임,TV대정령,600000,634210000,7454
미분류,과학드림 [Science Dream],600000,96690000,102
음악/댄스/가수,FTISLAND (FT아일랜드),600000,139550000,145
미분류,로하Roha,600000,77870000,108
스포츠/운동,강하나 스트레칭_stretching,600000,53740000,293
음식/요리/레시피,바다곰조해웅Seabear,600000,126020000,387
미분류,영기티비,600000,95180000,223
게임,로이조 TV,600000,436100000,2605
미분류,[윤이련]50년 요리비결,600000,143990000,305
미분류,유 퀴즈 온 더 튜브,600000,236390000,2520
미분류,엠뚜루마뚜루 : MBC 공식 종합 채널,600000,692570000,1185
뉴스/정치/사회,MTN 머니투데이방송,590000,509010000,56166
미분류,할명수,590000,43610000,62
미분류,STAYC,590000,126720000,100
미분류,하알라,590000,139620000,190
TV/방송,NICKY니키,590000,184860000,738
게임,JUNE,590000,593640000,1293
취미/라이프,이연LEEYEON,590000,40210000,170
게임,서넹,590000,217240000,2819
주식/경제/부동산,단희TV,590000,65550000,849
TV/방송,티키틱 TIKITIK,590000,121610000,142
미분류,깨방정,590000,175460000,364
뉴스/정치/사회,팩트TV NEWS,590000,515270000,19645
취미/라이프,딩가의 회전목마 DINGA,590000,69280000,171
패션/미용,leeanfilm리안,590000,49110000,184
미분류,A24,580000,621890000,532
취미/라이프,김나영의 nofilterTV,580000,108980000,310
TV/방송,drighk fancam 2015,580000,430090000,5284
교육/강의,친절한 대학,580000,56000000,553
미분류,양세브라더스,580000,24500000,16
BJ/인물/연예인,상해기SangHyuk,580000,129670000,311
애완/반려동물,김메주와 고양이들,580000,193180000,968
TV/방송,Olive,580000,639530000,17128
해외,Ashley Mariee,580000,56220000,2046
TV/방송,MAXIM KOREA,580000,306660000,2033
BJ/인물/연예인,최홍철,580000,162050000,318
음식/요리/레시피,더스쿱The SCOOP,580000,85300000,406
게임,형독방송,580000,515710000,1840
TV/방송,KBS 같이삽시다,570000,275180000,2972
TV/방송,공돌이 용달,570000,166060000,197
BJ/인물/연예인,엣지님,570000,199140000,1644
음악/댄스/가수,God DongMin갓동민,570000,93630000,996
TV/방송,은하캠핑,570000,111040000,201
키즈/어린이,Troom Troom Kr,570000,381590000,1883
취미/라이프,ConCorea TV,570000,14160000,625
미분류,McDonald's,570000,120340000,204
게임,진호,570000,306590000,2434
TV/방송,STATV,570000,189040000,7461
음악/댄스/가수,SUGA - Topic,570000,10000,1
음식/요리/레시피,SINCOOK - 신쿡,570000,103920000,482
뉴스/정치/사회,고성국TV,570000,277090000,7071
미분류,코믹마트,570000,186540000,227
음악/댄스/가수,May J Lee 메이제이 리,570000,28610000,40
BJ/인물/연예인,덕자전성시대,560000,61160000,140
TV/방송,KBS Entertain: 깔깔티비,560000,792370000,4854
애완/반려동물,Arirang은 고양이들내가 주인,560000,165740000,381
TV/방송,쌈바홍 ssambahong,560000,41090000,197
미분류,[에일리 OFFICIAL] aileemusic,560000,83540000,112
음악/댄스/가수,INFINITE,560000,39110000,158
뉴스/정치/사회,쓸모왕,560000,415200000,657
패션/미용,다영 DAYEONG,560000,75860000,354
키즈/어린이,캐리TV 주니어,560000,624180000,1423
음식/요리/레시피,[Flower pig]꽃돼지,560000,193360000,1190
키즈/어린이,Clevr TV [클레버티비],560000,532850000,1769
취미/라이프,TAU,560000,345720000,103
미분류,근황올림픽,560000,257670000,238
TV/방송,석준이가해,560000,125770000,214
음식/요리/레시피,정육왕 MeatCreator,560000,127740000,417
음악/댄스/가수,TVXQ!,560000,32690000,70
음악/댄스/가수,Reynah,550000,145380000,245
음악/댄스/가수,온스테이지ONSTAGE,550000,231620000,2330
미분류,김흥미,550000,220060000,473
음악/댄스/가수,Trouble Maker (Official YouTube Channel),550000,185460000,9
미분류,규티비 KYUHYUN,550000,21500000,74
영화/만화/애니,뭅뭅,550000,317120000,3192
패션/미용,아옳이,550000,93050000,152
미분류,또모TOWMOO,550000,133070000,191
미분류,Super K-슈퍼개미김정환,550000,50200000,447
미분류,드립팩토리 [Dlib Factory],550000,181640000,174
미분류,일주어터,550000,92630000,149
뉴스/정치/사회,국방TV,550000,504170000,11174
BJ/인물/연예인,sojoong쏘야쭝아,550000,137100000,222
미분류,에버랜드 - EVERLAND,550000,167780000,1979
음악/댄스/가수,달마발 Darlim&Hamabal,550000,136950000,157
음악/댄스/가수,Mellowbeat Seeker,550000,8240000,131
BJ/인물/연예인,카페노예 jun,550000,38150000,76
교육/강의,수린 suzlnne,550000,42300000,129
교육/강의,Conversational Korean,550000,15220000,335
취미/라이프,샬이 Shal.E,540000,21530000,60
패션/미용,LeoJ Makeup,540000,75560000,254
TV/방송,J.Y. Park,540000,88110000,90
게임,꿀탱탱,540000,338410000,2514
패션/미용,DAISY 데이지,540000,44630000,139
음악/댄스/가수,Flow Music,540000,113650000,490
영화/만화/애니,소개해주는 남자,540000,163680000,223
패션/미용,디렉터 짱구대디,540000,169240000,1725
미분류,Melon 멜론,540000,67450000,223
뉴스/정치/사회,서울의소리 Voice of Seoul,540000,244360000,7542
TV/방송,레이디액션,540000,265350000,355
미분류,BODA 보다,540000,250540000,731
게임,자몽티비,540000,501910000,2059
미분류,free지아,540000,84580000,188
게임,글자네 YouTube,540000,483520000,3179
애완/반려동물,아리둥절 Ari the Corgi,530000,150610000,234
BJ/인물/연예인,풍자테레비,530000,237370000,1636
게임,프레이 TV,530000,269770000,1160
게임,빅헤드,530000,303700000,3468
음악/댄스/가수,DanalEntertainment,530000,289530000,9242
미분류,유이뿅YUIPYON,530000,133690000,303
TV/방송,오마르의 삶,530000,85290000,416
BJ/인물/연예인,Korean Studio,530000,47210000,171
TV/방송,오예커플스토리,530000,88440000,156
교육/강의,동심파괴,530000,144100000,361
취미/라이프,희철리즘Heechulism,530000,135980000,252
뉴스/정치/사회,뉴스타운TV,530000,125330000,4573
음식/요리/레시피,스튜디오 쿠캣 - COOKAT,530000,208370000,1682
교육/강의,1등 미디어,530000,236320000,492
TV/방송,스튜디오V [ STUDIO V ],530000,156700000,320
미분류,시니어전성시대,530000,61410000,145
뉴스/정치/사회,Arirang News,530000,237800000,123984
TV/방송,joanday,530000,68510000,629
뉴스/정치/사회,여수MBC Music+(Kpop&Trot),530000,335970000,11954
BJ/인물/연예인,박서아TV,530000,99280000,306
게임,똘킹,530000,388870000,1829
미분류,AB6IX,530000,32270000,263
영화/만화/애니,supershinstudio,530000,383900000,7779
TV/방송,Ripple_S,530000,301300000,714
취미/라이프,미니유 Miniyu ASMR,530000,223610000,728
뉴스/정치/사회,KBS KONG,520000,204080000,6645
음식/요리/레시피,PRUMIR,520000,111540000,448
미분류,조여사전성시대,520000,98700000,428
미분류,Everton Football Club,520000,143740000,2485
음악/댄스/가수,Mina's TV 미나네TV,520000,21030000,136
BJ/인물/연예인,Mr.아재 [Mr.Ajae],520000,134390000,303
TV/방송,KBS 1라디오,520000,188970000,10373
취미/라이프,공구왕황부장,520000,105490000,445
미분류,햄튜브,520000,281210000,1110
키즈/어린이,오콘키즈,520000,694500000,1009
게임,방앗간 비둘기,520000,334960000,4296
음악/댄스/가수,Dragon Stone,520000,32320000,148
음식/요리/레시피,영자씨의 부엌Young-Ja's Kitchen,520000,108390000,905
음식/요리/레시피,창배먹방 chang_bae,520000,242550000,1283
IT/기술/컴퓨터,MR엠알,520000,76560000,348
TV/방송,KBS동물티비 : 애니멀포유 animal4u,520000,326080000,1459
TV/방송,상현아웃겨줘parksanghyun,520000,177860000,398
미분류,복지마블TV [Welfare Marble],510000,50210000,242
게임,OGN,510000,608880000,27433
미분류,밉지않은 관종언니,510000,67950000,170
게임,미소,510000,210780000,3084
음식/요리/레시피,Muggo,510000,183720000,1388
게임,임선비,510000,234290000,1134
